Experiment_ID,accession,isolate,tissue,score
Rhizome-AMP77,SH1247,AMP77,rhizome,1
Rhizome-AMP77,SH1247,AMP77,rhizome,5
Rhizome-AMP77,SH1247,AMP77,rhizome,1
Rhizome-AMP77,SH1247,AMP77,rhizome,1
Rhizome-AMP77,SH1247,AMP77,rhizome,1
Rhizome-AMP77,SH1337,AMP77,rhizome,1
Rhizome-AMP77,SH1337,AMP77,rhizome,1
Rhizome-AMP77,SH1337,AMP77,rhizome,1
Rhizome-AMP77,SH1337,AMP77,rhizome,1
Rhizome-AMP77,SH1337,AMP77,rhizome,1
Rhizome-AMP77,SH1337,AMP77,rhizome,1
Rhizome-AMP77,SH1337,AMP77,rhizome,2
Rhizome-AMP77,SH1337,AMP77,rhizome,1
Rhizome-AMP77,SH1337,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1484,AMP77,rhizome,1
Rhizome-AMP77,SH1484,AMP77,rhizome,1
Rhizome-AMP77,SH1484,AMP77,rhizome,1
Rhizome-AMP77,SH1484,AMP77,rhizome,1
Rhizome-AMP77,SH1484,AMP77,rhizome,2
Rhizome-AMP77,SH1484,AMP77,rhizome,2
Rhizome-AMP77,SH1484,AMP77,rhizome,1
Rhizome-AMP77,SH1484,AMP77,rhizome,1
Rhizome-AMP77,SH1484,AMP77,rhizome,1
